nome,significado,origem,url
Clorinda,Deusa grega das flores.,Mitológica,https://www.dicionariodenomesproprios.com.br/clorinda/
Clothilde,"Famosa batalha. ""famosa"" e hild "" batalha"".",Teutônica,https://www.dicionariodenomesproprios.com.br/clothilde/
Clotilde,"Significa “famosa guerreira”, “batalha gloriosa” ou “aquela que conquistou a fama no combate”.
Clotilde é um nome feminino que se originou a partir do germânico Chlotichilda / Chlodhilde, formado pela junção dos elementos hlot / hluot, que significa “fama” ou “glória”, e hilde / hild, que quer dizer “combate”.",Germânica,https://www.dicionariodenomesproprios.com.br/clotilde/
Clover,"Significa ""flor selvagem"".
Esse nome feminino, muito comum em países de língua inglesa, tem origem com o inglês antigo clafre, que quer dizer ""flor selvagem"".","Inglesa, Americana",https://www.dicionariodenomesproprios.com.br/clover/
Coaraci,A mãe do dia.,Tupi,https://www.dicionariodenomesproprios.com.br/coaraci/
Cobé,A maneira como se vive.,Indígena,https://www.dicionariodenomesproprios.com.br/cobe/
Coema,Início do dia.,Indígena,https://www.dicionariodenomesproprios.com.br/coema/
Colares,Colina.,Espanhola,https://www.dicionariodenomesproprios.com.br/colares/
Cólchida,Região da grécia antiga.,Grega,https://www.dicionariodenomesproprios.com.br/colchida/
Colomba,Pomba.,Espanhola,https://www.dicionariodenomesproprios.com.br/colomba/
Colombina,Descendente de Colombo.,Espanhola,https://www.dicionariodenomesproprios.com.br/colombina/
Conceição,"Significa “fruto”, “concepção”, “fecundação”.
Conceição é um nome português de origem religiosa que surgiu a partir do latim conceptus, que quer dizer “fruto” ou “concepção”.","Latina, Portuguesa",https://www.dicionariodenomesproprios.com.br/conceicao/
Concepcion,Variante espanhola de Conceição.,Espanhola,https://www.dicionariodenomesproprios.com.br/concepcion/
Concórdia,Conformidade.,Latina,https://www.dicionariodenomesproprios.com.br/concordia/
Connie,Apelido para Constância.,Inglesa,https://www.dicionariodenomesproprios.com.br/connie/
Constança,"Significa “constante”, “perseverante”, “aquela que tem firmeza de ânimo”.
É uma variante de Constância, versão feminina de Constâncio, nome originado no latim Constantius, a partir de constante, que significa “constante, perseverante, que tem firmeza de ânimo”.",Latina,https://www.dicionariodenomesproprios.com.br/constanca/
Constance,Mulher constante.,Latina,https://www.dicionariodenomesproprios.com.br/constance/
Constância,"Significa  “constante”, “estável”. 
O nome feminino Constância tem origem a partir do latim Constantius, que é derivado da palavra constans, que significa “constante” ou “estável”. O nome Constans esteve associado ao imperador romano Flavius Julius Constans Augustus, que governou o Império Romano entre os anos de 337 a 350.",Latina,https://www.dicionariodenomesproprios.com.br/constancia/
Constantina,"Firme, constante.",Latina,https://www.dicionariodenomesproprios.com.br/constantina/
Consuelo,"Significa “consolação”, “consolo” ou “alento”.
Consuelo é um nome feminino de origem espanhola derivado a partir do latim consolatio / consolor, que pode ser traduzido literalmente como “consolação” ou “consolo”.","Latina, Espanhola",https://www.dicionariodenomesproprios.com.br/consuelo/
Cora,"Significa “moça”, “donzela”, “virgem”.
Cora é uma versão latinizada do nome de origem grega Kore, que possui os significados de “moça”, ""donzela"" e ""virgem"". Na mitologia grega, Kore era um outro nome dado à deusa Perséfones.",Grega,https://www.dicionariodenomesproprios.com.br/cora/
Corália,Donzela dos mares.,Latina,https://www.dicionariodenomesproprios.com.br/coralia/
Coraline,"Significa ""coral""; ""mulher do povo"" ou ""mulher doce do povo"".
Esse nome tem mais de uma possível origem. Primeiramente é dito que ele foi uma criação do compositor francês Adolphe Adam, para uma de suas óperas.","Francesa, Germânica",https://www.dicionariodenomesproprios.com.br/coraline/
Corallina,Derivação de Corália.,Latina,https://www.dicionariodenomesproprios.com.br/corallina/
